"PlotStyleIndex","ACI","name","localized_name","description","color","mode_color","color_policy","physical_pen_number","virtual_pen_number","screen","linepattern_size","linetype","adaptive_linetype","lineweight","fill_style","end_style","join_style","LineweightMm"
"0","1","Color_1","Color_1","","-1023410176","-1023410176","4","0","0","100","0.5","31","TRUE","6","73","4","5","0.20"
"1","2","Color_2","Color_2","","-1023410176","-1023410176","5","0","0","100","0.5","31","TRUE","11","73","4","5","0.50"
"2","3","Color_3","Color_3","","-1023410176","-1023410176","5","0","0","100","0.5","31","TRUE","6","73","4","5","0.20"
"3","4","Color_4","Color_4","","-1023410176","-1023410176","5","0","0","100","0.5","31","TRUE","11","73","4","5","0.50"
"4","5","Color_5","Color_5","","-1023410176","-1023410176","5","0","0","100","0.5","31","TRUE","11","73","4","5","0.50"
"5","6","Color_6","Color_6","","-1023410176","-1023410176","5","0","0","100","0.5","31","TRUE","11","73","4","5","0.50"
"6","7","Color_7","Color_7","","-1023410176","-1023410176","5","0","0","100","0.5","31","TRUE","7","73","4","5","0.25"
"7","8","Color_8","Color_8","","-1023410176","-1023410176","5","0","0","100","0.5","31","TRUE","3","73","4","5","0.13"
"8","9","Color_9","Color_9","","-1023410176","-1023410176","5","0","0","100","0.5","31","TRUE","6","73","4","5","0.20"
"9","10","Color_10","Color_10","","-1023410176","-1023410176","5","0","0","100","0.5","31","TRUE","12","73","4","5","0.53"
"10","11","Color_11","Color_11","","-1023410176","-1023410176","5","0","0","100","0.5","31","TRUE","9","73","4","5","0.35"
"11","12","Color_12","Color_12","","-1023410176","-1023410176","5","0","0","100","0.5","31","TRUE","7","73","4","5","0.25"
"12","13","Color_13","Color_13","","-1023410176","-1023410176","5","0","0","100","0.5","31","TRUE","5","73","4","5","0.18"
"13","14","Color_14","Color_14","","-1006632961","-1006632961","1","0","0","100","0.5","31","TRUE","5","73","4","5","0.18"
"14","15","Color_15","Color_15","","-1023410176","-1023410176","5","0","0","100","0.5","31","TRUE","5","73","4","5","0.18"
"15","16","Color_16","Color_16","","-1023410176","-1023410176","5","0","0","100","0.5","31","TRUE","5","73","4","5","0.18"
"16","17","Color_17","Color_17","","-1023410176","-1023410176","5","0","0","35","0.5","31","TRUE","1","73","4","5","0.05"
"17","18","Color_18","Color_18","","-1023410176","-1023410176","5","0","0","100","0.5","31","TRUE","5","73","4","5","0.18"
"18","19","Color_19","Color_19","","-1023410176","-1023410176","5","0","0","100","0.5","31","TRUE","5","73","4","5","0.18"
"19","20","Color_20","Color_20","","-1023410176","-1023410176","5","0","0","100","0.5","31","TRUE","5","73","4","5","0.18"
"20","21","Color_21","Color_21","","-1023410176","-1023410176","5","0","0","100","0.5","31","TRUE","5","73","4","5","0.18"
"21","22","Color_22","Color_22","","-1006632961","-1006632961","1","0","0","100","0.5","31","TRUE","5","73","4","5","0.18"
"22","23","Color_23","Color_23","","-1006632961","-1006632961","1","0","0","100","0.5","31","TRUE","5","73","4","5","0.18"
"23","24","Color_24","Color_24","","-1023410176","-1023410176","5","0","0","100","0.5","31","TRUE","5","73","4","5","0.18"
"24","25","Color_25","Color_25","","-1015646602","-1015646602","5","0","0","100","0.5","31","TRUE","9","73","4","5","0.35"
"25","26","Color_26","Color_26","","-1023410176","-1023410176","5","0","0","100","0.5","31","TRUE","5","73","4","5","0.18"
"26","27","Color_27","Color_27","","-1023410176","-1023410176","5","0","0","100","0.5","31","TRUE","7","73","4","5","0.25"
"27","28","Color_28","Color_28","","-1023410176","-1023410176","5","0","0","100","0.5","31","TRUE","5","73","4","5","0.18"
"28","29","Color_29","Color_29","","-1011172678","-1011172678","5","0","0","100","0.5","31","TRUE","5","73","4","5","0.18"
"29","30","Color_30","Color_30","","-1023410176","-1023410176","5","0","0","100","0.5","31","TRUE","11","73","4","5","0.50"
"30","31","Color_31","Color_31","","-1023410176","-1023410176","5","0","0","100","0.5","31","TRUE","5","73","4","5","0.18"
"31","32","Color_32","Color_32","","-1023410176","-1023410176","5","0","0","100","0.5","31","TRUE","5","73","4","5","0.18"
"32","33","Color_33","Color_33","","-1023410176","-1023410176","5","0","0","100","0.5","31","TRUE","5","73","4","5","0.18"
