"Layer","Description","Plot","ACI","Linetype","LayerLineweight","Transparency","CtbName","CtbLineweightCode","CtbLineweightMm","CtbScreen","CtbLinetypeCode","CtbColorPolicy"
"....00________________________________","________________________________","N","250","CONTINUOUS","0","0","Color_250","7","0.25","75","31","1"
"....01_TNT_A_DRAWING","NÉT KHUNG BẢN VẼ","P","7","CONTINUOUS","0","0","Color_7","7","0.25","100","31","5"
"....02_TNT_A_VIRTURAL","NÉT THẤY","P","9","CONTINUOUS","0.3","50","Color_9","6","0.20","100","31","5"
"....03_TNT_A_THIN","NÉT MẢNH","P","251","CONTINUOUS","0.15","50","Color_251","7","0.25","75","31","5"
"....04_TNT_A_HIDDEN","NÉT KHUẤT","P","251","HIDDEN","0","50","Color_251","7","0.25","75","31","5"
"....05_TNT_A_SECTION","NÉT CẮT","P","30","CONTINUOUS","0","50","Color_30","11","0.50","100","31","5"
"....06_TNT_A_SECTION-LINE","NÉT TRỤC CẮT","P","6","ACAD_ISO07W100","0","0","Color_6","11","0.50","100","31","5"
"....07_TNT_A_BASE","NÉT TRỤC","P","177","CENTER","0","0","Color_177","5","0.18","100","31","5"
"....08_TNT_A_DETAIL","NÉT CHI TIẾT","P","156","HIDDEN","0","50","Color_156","9","0.35","100","31","5"
"....09_TNT_A_COMPLETE","NÉT HOÀN THIỆN","P","8","CONTINUOUS","0","50","Color_8","3","0.13","100","31","5"
"....10_TNT_A_COTE","NÉT CAO ĐỘ","P","14","CONTINUOUS","0","0","Color_14","5","0.18","100","31","1"
"....11_TNT_A_PLOT","NÉT IN","N","250","CONTINUOUS","0","0","Color_250","7","0.25","75","31","1"
"....12________________________________","________________________________","N","250","CONTINUOUS","0","50","Color_250","7","0.25","75","31","1"
"....12_TNT_F_FURNITURE","NÉT NỘI THẤT","P","27","CONTINUOUS","0","50","Color_27","7","0.25","100","31","5"
"....13_TNT_F_TREE","NÉT CÂY","P","76","CONTINUOUS","0","50","Color_76","2","0.09","100","31","5"
"....14_TNT_F_GLASS","NÉT KÍNH","P","147","CONTINUOUS","0","50","Color_147","5","0.18","100","31","5"
"....15_TNT_F_DOOR","NÉT CỬA","P","33","CONTINUOUS","0","50","Color_33","5","0.18","100","31","5"
